	feature	num_occurences	av_occurences	bs_model
0	 f__Akkermansiaceae	5	1.0	random_forest
1	 f__Erysipelotrichaceae	4	0.8	random_forest
2	 f__[Eubacterium]_coprostanoligenes_group	4	0.8	random_forest
3	 f__Peptostreptococcaceae	2	0.4	random_forest
4	 f__RF39	2	0.4	random_forest
5	 f__Deferribacteraceae	1	0.2	random_forest
6	 f__Erysipelatoclostridiaceae	1	0.2	random_forest
7	 f__Lactobacillaceae	1	0.2	random_forest
8	 f__Tannerellaceae	1	0.2	random_forest
9	 f__Akkermansiaceae	3	0.6	grad_boost
10	 f__Lactobacillaceae	2	0.4	grad_boost
11	 f__Peptostreptococcaceae	2	0.4	grad_boost
12	 f__Anaerofustaceae	1	0.2	grad_boost
13	 f__Anaerovoracaceae	1	0.2	grad_boost
14	 f__Bacteroidaceae	1	0.2	grad_boost
15	 f__Enterobacteriaceae	1	0.2	grad_boost
16	 f__Erysipelatoclostridiaceae	1	0.2	grad_boost
17	 f__Erysipelotrichaceae	1	0.2	grad_boost
18	 f__Tannerellaceae	1	0.2	grad_boost
19	 f__[Eubacterium]_coprostanoligenes_group	1	0.2	grad_boost
